sex,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,two_year_recid
Male,Greater than 45,Other,None,None,None,None,F,Aggravated Assault w/Firearm,0
Male,25 - 45,African-American,None,None,None,None,F,Felony Battery w/Prior Convict,1
Male,Less than 25,African-American,None,None,1 to 2,1 to 5,F,Possession of Cocaine,1
Male,Less than 25,African-American,None,1 to 2,None,1 to 5,F,Possession of Cannabis,0
Male,25 - 45,Other,None,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,Other,None,None,None,None,M,Battery,0
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,Possession Burglary Tools,1
Male,25 - 45,Other,None,None,None,1 to 5,F,arrest case no charge,0
Female,25 - 45,Caucasian,None,None,None,None,M,Battery,0
Male,Less than 25,Caucasian,None,None,None,1 to 5,F,Insurance Fraud,1
Male,25 - 45,Caucasian,None,None,None,None,F,"Poss 3,4 MDMA (Ecstasy)",0
Male,Less than 25,African-American,None,None,None,1 to 5,M,Battery,1
Female,25 - 45,Caucasian,None,None,None,None,M,Battery,0
Male,25 - 45,African-American,None,None,None,None,F,"Poss3,4 Methylenedioxymethcath",0
Female,Greater than 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,1
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Felony Driving While Lic Suspd,1
Male,25 - 45,Hispanic,None,None,None,None,M,Battery,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,Grand Theft in the 3rd Degree,0
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,Driving While License Revoked,1
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,Possession Of Heroin,1
Male,Greater than 45,African-American,None,None,None,5+ to 15,F,arrest case no charge,1
Male,Less than 25,African-American,None,None,None,1 to 5,F,Battery on Law Enforc Officer,1
Male,25 - 45,Caucasian,None,None,None,None,M,Possession Of Methamphetamine,1
Female,Less than 25,Caucasian,None,None,None,None,F,Introduce Contraband Into Jail,0
Male,Less than 25,Hispanic,None,None,None,1 to 5,F,Lewd/Lasc Battery Pers 12+/<16,1
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Susp Drivers Lic 1st Offense,0
Male,25 - 45,Other,None,None,None,None,M,Battery,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Carrying Concealed Firearm,1
Female,25 - 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,African-American,None,None,1 to 2,5+ to 15,F,Pos Cannabis W/Intent Sel/Del,1
Male,25 - 45,African-American,None,None,None,None,F,Tampering With Physical Evidence,1
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,Felony Battery w/Prior Convict,1
