,NN,NG,KNN,Final,two_year_recid
0,0,0,0,0,0
1,0,0,1,0,1
2,1,0,1,1,1
3,1,1,1,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,1,1,0,1,1
7,0,0,0,0,0
8,0,0,0,0,0
9,1,0,0,0,1
10,0,0,1,0,0
11,1,0,1,1,1
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,1
15,1,0,1,1,1
16,0,0,0,0,0
17,1,0,0,1,0
18,1,0,1,1,1
19,1,0,1,1,1
20,1,0,0,1,1
21,1,0,0,0,1
22,0,0,0,0,1
23,0,0,0,0,0
24,0,0,1,0,1
25,0,0,0,0,0
26,0,0,0,0,0
27,1,0,1,1,1
28,0,0,1,0,0
29,1,0,1,1,1
30,0,0,1,0,1
31,1,0,1,1,1
32,1,0,1,1,1
33,0,0,0,0,0
34,0,0,0,1,1
35,1,1,0,1,0
36,0,0,0,0,1
37,0,0,1,0,1
38,1,1,1,1,1
39,0,0,1,0,0
40,0,0,0,0,0
41,0,0,1,0,0
42,0,0,1,1,1
43,0,0,1,1,0
44,0,0,0,0,1
45,1,0,1,1,1
46,1,1,1,1,1
47,0,0,0,0,0
48,0,0,0,1,1
49,0,0,0,0,0
50,0,0,1,1,1
51,0,0,0,0,0
52,1,1,1,1,1
53,0,0,0,0,0
54,1,1,0,1,0
55,1,0,0,1,1
56,0,0,0,0,0
57,0,0,0,0,0
58,0,0,0,1,0
59,1,0,0,1,0
60,0,0,1,1,1
61,1,1,1,1,1
62,0,0,0,0,1
63,1,0,1,1,1
64,1,1,1,1,1
65,1,0,1,1,1
66,0,0,0,0,0
67,1,1,1,1,1
68,0,0,0,0,0
69,0,0,0,0,0
70,0,0,1,0,1
71,1,0,0,1,0
72,0,0,0,0,0
73,1,0,1,1,1
74,1,0,0,0,1
75,0,0,0,0,0
76,0,0,0,0,1
77,1,0,1,0,0
78,0,0,1,1,1
79,0,0,1,1,1
80,0,0,0,1,0
81,0,0,0,0,0
82,1,0,1,1,1
83,0,0,1,0,1
84,1,1,1,1,1
85,0,0,1,0,1
86,1,1,0,1,1
87,1,0,1,0,1
88,0,0,0,0,0
89,1,0,1,1,1
90,1,0,1,1,1
91,0,0,0,0,1
92,1,0,1,1,1
93,0,0,0,1,0
94,0,0,0,0,0
95,0,0,1,1,1
96,0,0,0,1,0
97,0,0,0,0,0
98,0,0,0,0,0
99,1,0,1,0,1
100,1,0,1,0,0
101,0,0,0,1,0
102,0,0,0,1,1
103,1,1,1,1,1
104,0,0,0,0,0
105,0,0,0,0,0
