sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,two_year_recid
1,69,5,0,0,0,0,0,1,0
1,34,0,0,0,0,0,0,2,1
1,24,0,0,0,1,4,0,3,1
1,23,0,0,1,0,1,0,4,0
1,43,5,0,0,0,2,0,5,0
1,44,5,0,0,0,0,1,6,0
1,41,1,0,0,0,14,0,7,1
1,43,5,0,0,0,3,0,5,0
0,39,1,0,0,0,0,1,6,0
1,21,1,0,0,0,1,0,8,1
1,27,1,0,0,0,0,0,9,0
1,23,0,0,0,0,3,1,6,1
0,37,1,0,0,0,0,1,6,0
1,41,0,0,0,0,0,0,10,0
0,47,1,0,0,0,1,0,5,1
1,31,0,0,0,0,7,0,11,1
1,37,2,0,0,0,0,1,6,0
1,25,0,0,0,0,3,0,12,0
1,31,1,0,0,0,6,0,13,1
1,31,1,0,0,0,5,0,14,1
1,64,0,0,0,0,13,0,5,1
1,21,0,0,0,0,1,0,15,1
1,27,1,0,0,0,0,1,16,1
0,21,1,0,0,0,0,0,17,0
1,24,2,0,0,0,1,0,18,1
1,43,1,0,0,0,1,1,19,0
1,32,5,0,0,0,0,1,6,0
1,27,0,0,0,0,8,0,20,1
0,36,1,0,0,0,3,0,5,0
1,26,0,0,0,1,5,0,21,1
1,33,0,0,0,0,0,0,22,1
1,30,1,0,0,0,9,0,2,1
1,32,0,0,0,0,4,0,23,1
1,55,1,0,0,0,0,0,5,0
1,49,5,0,0,0,7,0,24,1
1,26,1,0,0,2,6,1,25,0
0,33,1,0,0,0,4,1,6,1
1,24,1,0,0,0,1,1,6,1
1,34,0,2,1,3,21,0,26,1
1,29,1,0,0,0,0,1,27,0
0,21,0,0,0,0,2,0,5,0
1,51,0,0,0,0,2,1,28,0
1,29,1,0,0,0,2,1,29,1
0,51,0,0,0,0,7,0,3,0
1,29,0,0,0,0,0,0,30,1
1,25,1,0,0,0,9,1,6,1
1,35,0,1,0,4,13,0,31,1
1,49,1,0,0,0,0,1,32,0
1,34,0,0,0,0,4,1,33,1
1,29,0,0,0,0,0,0,22,0
1,29,1,0,0,0,1,0,34,1
0,28,5,0,0,0,0,0,12,0
1,48,1,0,0,0,20,0,5,1
0,63,2,0,0,0,1,0,5,0
1,31,0,0,0,1,15,0,35,0
1,24,0,0,0,0,2,0,36,1
1,30,2,0,0,0,0,1,27,0
1,49,0,0,0,0,4,1,6,0
1,53,1,0,0,0,8,0,5,0
1,35,0,0,0,0,5,0,13,0
1,63,0,0,0,0,10,1,37,1
1,27,0,1,1,2,15,0,13,1
1,38,1,0,0,0,4,1,6,1
1,22,0,0,0,1,1,0,38,1
1,22,0,0,1,2,2,0,39,1
1,29,0,0,0,0,4,0,5,1
1,62,2,0,0,0,0,1,40,0
1,27,0,0,1,0,6,0,41,1
1,33,5,0,0,0,0,1,6,0
0,56,0,0,0,0,0,1,6,0
1,45,2,0,0,0,6,0,3,1
1,22,2,0,0,0,1,0,42,0
1,39,0,0,0,0,1,1,5,0
1,29,0,0,0,0,5,0,43,1
1,27,1,0,0,1,1,0,5,1
1,40,0,0,0,0,2,0,5,0
